GraduatedYr,FacName,FacName.1,gender,AgeGrad,Nationality,EntryChannel,MUET,Program,CGPA,YearEntry,YearGrad,Status,JobGroup,jobassurance,JobStatusCategory,JobNumber,JobIncomeCategory
2023,FSKTM,Fac1,0,-0.8720043910422491,0,2,Band 4,BACELOR SAINS KOMPUTER (RANGKAIAN KOMPUTER),0.6438815060471428,2019,2023,52,Profesional,3,0,Pertama,1
2023,FSKTM,Fac1,0,-0.8720043910422491,0,7,Band 3,BACELOR SAINS KOMPUTER (RANGKAIAN KOMPUTER),0.4101621358258243,2019,2023,52,Profesional,3,2,Pertama,1
2023,FSKTM,Fac1,1,-0.8720043910422491,0,7,Band 3,BACELOR SAINS KOMPUTER (RANGKAIAN KOMPUTER),0.07627732122393958,2019,2023,52,Profesional,3,2,Pertama,1
2023,FSKTM,Fac1,1,-0.8720043910422491,0,7,Band 4,BACELOR SAINS KOMPUTER (MULTIMEDIA),0.3099966914452581,2019,2023,52,Profesional,3,2,Pertama,1
2023,FSKTM,Fac1,1,-0.8720043910422491,0,7,Band 5,BACELOR SAINS KOMPUTER (RANGKAIAN KOMPUTER),0.009500358303562642,2019,2023,52,Profesional,3,2,Pertama,1
2023,FSKTM,Fac1,1,-0.34392667921635717,0,11,Band 4,BACELOR SAINS KOMPUTER (RANGKAIAN KOMPUTER),0.34338517290544734,2019,2023,Bekerja sepenuh masa,Juruteknik dan Profesional Bersekutu,3,2,11,1
2023,FSKTM,Fac1,0,-0.8720043910422491,0,7,Band 4,BACELOR SAINS KOMPUTER (MULTIMEDIA),0.1096658026841273,2019,2023,52,Profesional,3,2,Pertama,1
2023,FSKTM,Fac1,1,-0.8720043910422491,0,7,Band 4,BACELOR KEJURUTERAAN PERISIAN,0.677269987507332,2019,2023,52,Profesional,3,0,Pertama,1
2023,FSKTM,Fac1,0,-0.8720043910422491,0,7,Band 4,BACELOR SAINS KOMPUTER (MULTIMEDIA),0.5771045431267658,2019,2023,52,Profesional,3,0,Pertama,1
2023,FSKTM,Fac1,0,0.18415103260953475,0,3,Band 5,BACELOR SAINS KOMPUTER (MULTIMEDIA),0.2766082099850704,2019,2023,52,Profesional,3,2,Pertama,1
2023,FSKTM,Fac1,0,-0.8720043910422491,0,7,Band 3,BACELOR SAINS KOMPUTER (MULTIMEDIA),0.17644276560450425,2019,2023,52,Profesional,3,2,Pertama,1
2023,FSKTM,Fac1,1,-0.8720043910422491,0,7,Band 4,BACELOR SAINS KOMPUTER (MULTIMEDIA),-0.7918231967409606,2019,2023,52,Profesional,3,0,Pertama,1
2023,FSKTM,Fac1,1,-0.8720043910422491,0,2,Band 3,BACELOR SAINS KOMPUTER (SISTEM KOMPUTER) DENGAN KEPUJIAN,0.7106584689675197,2019,2023,52,Profesional,3,2,Pertama,1
2023,FSKTM,Fac1,1,-0.8720043910422491,0,2,Band 3,BACELOR SAINS KOMPUTER (SISTEM KOMPUTER) DENGAN KEPUJIAN,0.6438815060471428,2019,2023,52,Profesional,3,2,Pertama,1
2023,FSKTM,Fac1,0,-0.8720043910422491,0,7,Band 3,BACELOR SAINS KOMPUTER (SISTEM KOMPUTER) DENGAN KEPUJIAN,0.4101621358258243,2019,2023,52,Profesional,3,2,Pertama,1
2023,FSKTM,Fac1,0,-0.8720043910422491,0,7,Band 3,BACELOR SAINS KOMPUTER (SISTEM KOMPUTER) DENGAN KEPUJIAN,0.37677365436563504,2019,2023,52,Profesional,3,0,Pertama,1
2023,FSKTM,Fac1,1,-0.8720043910422491,0,7,Band 3,BACELOR SAINS KOMPUTER (MULTIMEDIA),-1.2258734557234099,2019,2023,Bekerja sepenuh masa,Profesional,3,2,Pertama,0
2023,FSKTM,Fac1,1,-0.8720043910422491,0,7,Band 4,BACELOR SAINS KOMPUTER (SISTEM KOMPUTER) DENGAN KEPUJIAN,0.07627732122393958,2019,2023,52,Profesional,3,2,Pertama,0
2023,FSKTM,Fac1,1,-0.8720043910422491,0,2,Band 3,BACELOR SAINS KOMPUTER (RANGKAIAN KOMPUTER),0.677269987507332,2019,2023,52,Profesional,3,0,Ke- 2,0
2023,FSKTM,Fac1,1,-0.34392667921635717,0,7,Band 4,BACELOR SAINS KOMPUTER (RANGKAIAN KOMPUTER),-0.2242190119177559,2018,2023,52,Profesional,3,0,Pertama,0
2023,FSKTM,Fac1,0,-0.8720043910422491,0,7,Band 4,BACELOR KEJURUTERAAN PERISIAN,0.4769390987462012,2019,2023,52,Profesional,3,2,Pertama,0
2023,FSKTM,Fac1,0,-0.8720043910422491,0,2,Band 4,BACELOR KEJURUTERAAN PERISIAN,0.07627732122393958,2019,2023,52,Profesional,3,2,Pertama,0
2023,FSKTM,Fac1,1,-0.8720043910422491,0,2,Band 5,BACELOR SAINS KOMPUTER (MULTIMEDIA),-1.6265352332456715,2019,2023,52,Profesional,3,2,Pertama,0
2023,FSKTM,Fac1,1,-0.8720043910422491,0,7,Band 3,BACELOR SAINS KOMPUTER (RANGKAIAN KOMPUTER),0.6104930245869551,2019,2023,52,Profesional,3,0,Pertama,0
2023,FSKTM,Fac1,1,-0.8720043910422491,0,7,Band 2,BACELOR SAINS KOMPUTER (RANGKAIAN KOMPUTER),0.2766082099850704,2019,2023,52,Profesional,3,0,Pertama,0
2023,FSKTM,Fac1,0,-0.8720043910422491,0,7,Band 3,BACELOR SAINS KOMPUTER (SISTEM KOMPUTER) DENGAN KEPUJIAN,0.7106584689675197,2019,2023,52,Profesional,3,0,Pertama,0
2023,FSKTM,Fac1,1,-0.8720043910422491,0,7,Band 3,BACELOR SAINS KOMPUTER (SISTEM KOMPUTER) DENGAN KEPUJIAN,0.37677365436563504,2019,2023,52,Profesional,3,2,Pertama,0
2023,FSKTM,Fac1,0,-0.8720043910422491,0,2,Band 4,BACELOR SAINS KOMPUTER (MULTIMEDIA),0.4769390987462012,2019,2023,Bekerja sepenuh masa,Pengurus,4,1,-2,0
2023,FSKTM,Fac1,1,0.18415103260953475,0,3,Band 4,BACELOR SAINS KOMPUTER (RANGKAIAN KOMPUTER),-0.6916577523603945,2019,2023,52,Profesional,1,1,-2,0
2023,FSKTM,Fac1,0,-0.8720043910422491,0,7,Band 3,BACELOR SAINS KOMPUTER (MULTIMEDIA),-0.49132686359926364,2019,2023,Bekerja sepenuh masa,Juruteknik dan Profesional Bersekutu,1,1,-2,0
2023,FSKTM,Fac1,0,-0.8720043910422491,0,7,Band 2,BACELOR SAINS KOMPUTER (SISTEM KOMPUTER) DENGAN KEPUJIAN,0.443550617286012,2019,2023,52,Pekerja Perkhidmatan dan Jualan,6,2,-2,0
2023,FSKTM,Fac1,0,-0.8720043910422491,0,7,Band 4,BACELOR SAINS KOMPUTER (MULTIMEDIA),-0.29099597483813283,2019,2023,52,Pekerja Perkhidmatan dan Jualan,3,2,Pertama,0
